date,fips,state,cases,deaths
2021-10-04,01,Alabama,185350544,3448795
2021-10-04,02,Alaska,22127205,106723
2021-10-04,04,Arizona,288116183,5686536
2021-10-04,05,Arkansas,116553283,1892120
2021-10-04,06,California,1223642710,19057819
2021-10-04,08,Colorado,165925131,2353081
2021-10-04,09,Connecticut,106505065,3308223
2021-10-04,10,Delaware,33213398,582188
2021-10-04,11,District of Columbia,16560205,443475
2021-10-04,12,Florida,783197063,12598577
2021-10-04,13,Georgia,365082365,6611492
2021-10-04,15,Hawaii,12651113,163624
2021-10-04,16,Idaho,63352194,681004
2021-10-04,17,Illinois,450014960,8921337
2021-10-04,18,Indiana,239234728,4536855
2021-10-04,19,Iowa,123928604,1930874
2021-10-04,20,Kansas,103867099,1550116
2021-10-04,21,Kentucky,146287696,2039127
2021-10-04,22,Louisiana,172542000,4096759
2021-10-04,23,Maine,18146624,252246
2021-10-04,24,Maryland,149048413,3350732
2021-10-04,25,Massachusetts,220017720,6933964
2021-10-04,26,Michigan,283855470,7067953
2021-10-04,27,Minnesota,186179229,2522740
2021-10-04,28,Mississippi,111927913,2571869
2021-10-04,29,Missouri,203629163,3121856
2021-10-04,30,Montana,35600781,486698
2021-10-04,31,Nebraska,73538385,784954
2021-10-04,32,Nevada,108373212,1822542
2021-10-04,33,New Hampshire,27688952,454381
2021-10-04,34,New Jersey,316511313,10712228
2021-10-04,35,New Mexico,64995321,1331152
2021-10-04,36,New York,660821836,22191740
2021-10-04,37,North Carolina,316863777,4179568
2021-10-04,38,North Dakota,36513735,507419
2021-10-04,39,Ohio,340281710,6101899
2021-10-04,40,Oklahoma,146990675,1956077
2021-10-04,41,Oregon,63314373,849610
2021-10-04,42,Pennsylvania,354665365,9111159
2021-10-04,44,Rhode Island,46777196,976410
2021-10-04,45,South Carolina,190498668,3182136
2021-10-04,46,South Dakota,40721522,625408
2021-10-04,47,Tennessee,278798881,3822379
2021-10-04,48,Texas,972885461,16552608
2021-10-04,49,Utah,131369998,721070
2021-10-04,50,Vermont,6501573,82089
2021-10-04,51,Virginia,211312098,3471487
2021-10-04,53,Washington,140073911,2060549
2021-10-04,54,West Virginia,47770711,823822
2021-10-04,55,Wisconsin,220946809,2506444
2021-10-04,56,Wyoming,19587201,220593
2021-10-04,60,American Samoa,12,0
2021-10-04,66,Guam,3538079,49476
2021-10-04,69,Northern Mariana Islands,64721,1096
2021-10-04,72,Puerto Rico,54765461,785161
2021-10-04,78,Virgin Islands,1246633,12748
